Plant_ID,Plant_Type,Leaf_Color,Leaf_Spot_Size,Humidity,Temperature,Disease_Status
3000,Pepper,Green,5.97,50.09,35.15,Healthy
3001,Potato,Yellowish,3.34,45.5,28.1,Healthy
3002,Cucumber,Yellowish,8.32,41.13,39.34,Healthy
3003,Potato,Dark Green,3.04,50.0,22.03,Healthy
3004,Potato,Green,6.12,63.76,24.41,Mild Infection
3005,Potato,Yellowish,2.0,65.08,35.27,Healthy
3006,Pepper,Green,1.71,42.55,31.37,Healthy
3007,Pepper,Dark Green,8.08,92.19,39.24,Severe Infection
3008,Tomato,Dark Green,4.4,45.37,33.05,Healthy
3009,Pepper,Green,3.91,85.83,21.81,Mild Infection
3010,Potato,Dark Green,5.68,63.38,22.57,Mild Infection
3011,Tomato,Yellowish,3.95,86.33,27.89,Mild Infection
3012,Cucumber,Dark Green,5.7,80.0,25.18,Mild Infection
3013,Cucumber,Green,7.47,92.86,36.58,Severe Infection
3014,Pepper,Green,6.07,72.27,39.24,Mild Infection
3015,Tomato,Green,0.16,56.3,21.64,Healthy
3016,Tomato,Green,8.15,50.93,18.12,Healthy
3017,Tomato,Yellowish,9.26,83.46,31.33,Severe Infection
3018,Potato,Green,4.49,90.32,36.7,Mild Infection
3019,Tomato,Yellowish,7.3,57.1,25.15,Healthy
3020,Cucumber,Dark Green,1.2,88.8,28.39,Healthy
3021,Potato,Yellowish,7.71,81.84,30.35,Severe Infection
3022,Pepper,Yellowish,0.25,68.75,27.41,Healthy
3023,Tomato,Yellowish,3.14,41.73,32.0,Healthy
3024,Cucumber,Dark Green,5.4,47.66,31.3,Healthy
3025,Tomato,Green,1.61,44.23,24.37,Healthy
3026,Potato,Dark Green,8.71,84.45,31.93,Severe Infection
3027,Cucumber,Dark Green,1.22,88.58,25.14,Healthy
3028,Tomato,Yellowish,6.48,89.88,23.99,Severe Infection
3029,Tomato,Green,5.11,87.34,18.15,Mild Infection
3030,Tomato,Dark Green,3.38,52.22,20.64,Healthy
3031,Pepper,Yellowish,7.03,57.78,29.41,Healthy
3032,Tomato,Dark Green,2.52,93.45,39.17,Healthy
3033,Potato,Yellowish,0.37,56.55,24.27,Healthy
3034,Tomato,Dark Green,2.79,67.65,19.13,Healthy
3035,Tomato,Green,4.89,53.18,21.19,Healthy
3036,Cucumber,Dark Green,7.62,53.31,32.79,Healthy
3037,Pepper,Green,6.32,80.05,26.09,Severe Infection
3038,Potato,Dark Green,8.35,69.47,19.99,Mild Infection
3039,Cucumber,Yellowish,5.91,50.26,18.9,Healthy
3040,Pepper,Yellowish,3.49,79.11,35.81,Mild Infection
3041,Pepper,Green,9.37,78.0,26.51,Severe Infection
3042,Tomato,Yellowish,9.25,58.76,20.5,Healthy
3043,Potato,Dark Green,8.17,54.19,32.52,Healthy
3044,Tomato,Green,8.97,53.3,20.05,Healthy
3045,Tomato,Yellowish,7.0,50.38,24.14,Healthy
3046,Cucumber,Yellowish,8.88,87.1,26.9,Severe Infection
3047,Cucumber,Yellowish,6.69,91.46,35.28,Severe Infection
3048,Potato,Yellowish,9.74,60.48,38.68,Mild Infection
3049,Potato,Dark Green,6.52,70.18,33.22,Mild Infection
3050,Tomato,Green,1.79,40.99,28.87,Healthy
3051,Cucumber,Yellowish,5.43,79.65,24.78,Mild Infection
3052,Pepper,Yellowish,5.9,75.0,23.51,Mild Infection
3053,Potato,Green,4.34,66.77,37.93,Mild Infection
3054,Tomato,Dark Green,8.64,75.48,32.72,Severe Infection
3055,Cucumber,Green,7.69,67.46,30.58,Mild Infection
3056,Cucumber,Green,2.8,94.7,28.34,Healthy
3057,Potato,Yellowish,3.31,81.12,38.97,Mild Infection
3058,Potato,Green,0.75,71.48,39.57,Healthy
3059,Tomato,Green,4.85,50.5,23.91,Healthy
3060,Potato,Green,9.3,61.71,36.57,Mild Infection
3061,Potato,Dark Green,1.4,73.83,39.78,Healthy
3062,Pepper,Dark Green,6.97,88.26,34.3,Severe Infection
3063,Pepper,Dark Green,8.09,59.77,24.46,Healthy
3064,Pepper,Dark Green,5.11,87.69,38.09,Mild Infection
3065,Tomato,Green,3.97,50.69,19.56,Healthy
3066,Potato,Yellowish,0.94,58.59,26.26,Healthy
3067,Pepper,Yellowish,5.43,41.98,28.24,Healthy
3068,Tomato,Dark Green,0.37,72.5,18.67,Healthy
3069,Potato,Yellowish,5.22,59.81,20.8,Healthy
3070,Tomato,Green,1.94,65.15,36.52,Healthy
3071,Potato,Yellowish,1.33,78.47,21.04,Healthy
3072,Potato,Dark Green,2.71,57.76,35.49,Healthy
3073,Cucumber,Dark Green,9.63,44.32,18.56,Healthy
3074,Pepper,Yellowish,1.73,78.28,27.0,Healthy
3075,Tomato,Yellowish,7.15,53.76,30.08,Healthy
3076,Cucumber,Green,7.38,55.4,39.01,Healthy
3077,Pepper,Green,2.48,73.64,27.23,Healthy
3078,Cucumber,Yellowish,1.16,81.68,18.32,Healthy
3079,Tomato,Yellowish,7.04,42.24,36.82,Healthy
3080,Cucumber,Dark Green,3.46,81.99,35.75,Mild Infection
3081,Potato,Dark Green,9.49,75.74,19.06,Severe Infection
3082,Cucumber,Dark Green,9.33,54.35,18.34,Healthy
3083,Cucumber,Green,6.16,69.67,33.05,Mild Infection
3084,Cucumber,Yellowish,6.36,91.93,37.08,Severe Infection
3085,Cucumber,Dark Green,8.11,71.54,20.83,Mild Infection
3086,Pepper,Green,6.51,74.43,36.05,Mild Infection
3087,Pepper,Green,0.18,43.81,20.22,Healthy
3088,Pepper,Dark Green,3.19,77.57,19.57,Mild Infection
3089,Potato,Dark Green,2.82,41.28,35.92,Healthy
3090,Cucumber,Dark Green,8.77,78.32,31.84,Severe Infection
3091,Cucumber,Green,1.77,84.19,24.2,Healthy
3092,Tomato,Yellowish,3.72,94.48,27.08,Mild Infection
3093,Pepper,Yellowish,4.29,91.19,36.89,Mild Infection
3094,Tomato,Yellowish,9.03,81.5,20.27,Severe Infection
3095,Potato,Green,3.89,57.6,37.7,Healthy
3096,Cucumber,Green,3.19,89.8,20.01,Mild Infection
3097,Potato,Yellowish,6.32,92.28,30.62,Severe Infection
3098,Tomato,Green,6.73,56.13,25.23,Healthy
3099,Cucumber,Green,0.91,83.54,35.37,Healthy
3100,Potato,Dark Green,4.42,43.17,30.09,Healthy
3101,Pepper,Green,1.43,59.3,20.58,Healthy
3102,Potato,Dark Green,0.84,74.0,20.22,Healthy
3103,Tomato,Dark Green,1.47,61.82,37.62,Healthy
3104,Tomato,Green,8.63,52.83,30.79,Healthy
3105,Potato,Green,7.53,92.1,39.69,Severe Infection
3106,Potato,Yellowish,7.05,66.49,26.32,Mild Infection
3107,Potato,Dark Green,2.54,58.16,27.56,Healthy
3108,Potato,Dark Green,1.18,43.1,20.61,Healthy
3109,Tomato,Yellowish,9.62,81.03,30.83,Severe Infection
3110,Pepper,Green,4.36,44.56,29.62,Healthy
3111,Potato,Green,8.91,93.34,18.95,Severe Infection
3112,Potato,Green,5.54,94.61,19.62,Mild Infection
3113,Cucumber,Green,6.96,68.77,31.85,Mild Infection
3114,Pepper,Green,9.01,74.52,30.85,Mild Infection
3115,Tomato,Yellowish,8.9,55.45,38.91,Healthy
3116,Cucumber,Green,4.64,55.26,22.14,Healthy
3117,Potato,Dark Green,2.6,54.63,25.93,Healthy
3118,Pepper,Dark Green,4.11,41.78,24.15,Healthy
3119,Tomato,Green,9.41,47.33,19.68,Healthy
3120,Pepper,Green,9.33,73.74,27.2,Mild Infection
3121,Potato,Yellowish,3.76,42.49,18.58,Healthy
3122,Tomato,Dark Green,5.94,94.3,21.31,Mild Infection
3123,Pepper,Green,8.38,93.35,36.53,Severe Infection
3124,Potato,Green,0.56,62.82,24.01,Healthy
3125,Potato,Green,9.13,69.39,34.5,Mild Infection
3126,Pepper,Green,3.78,79.94,34.66,Mild Infection
3127,Tomato,Dark Green,2.75,51.28,23.53,Healthy
3128,Cucumber,Dark Green,0.47,88.3,34.65,Healthy
3129,Pepper,Yellowish,7.72,76.94,29.45,Severe Infection
3130,Pepper,Dark Green,5.61,86.87,30.14,Mild Infection
3131,Potato,Yellowish,0.29,62.19,20.95,Healthy
3132,Pepper,Green,2.13,74.12,33.49,Healthy
3133,Potato,Dark Green,3.92,59.28,30.98,Healthy
3134,Pepper,Yellowish,5.14,89.73,25.66,Mild Infection
3135,Cucumber,Yellowish,8.62,61.81,31.69,Mild Infection
3136,Tomato,Green,4.92,48.09,38.38,Healthy
3137,Cucumber,Green,3.29,93.9,28.84,Mild Infection
3138,Pepper,Yellowish,1.29,53.21,19.67,Healthy
3139,Pepper,Yellowish,1.8,62.02,33.35,Healthy
3140,Cucumber,Green,6.68,89.32,28.43,Severe Infection
